topic,scene,bv_safety_20,bv_comfort_10,bv_test_30,bv_total_60,av_safety_10,av_efficiency_10,av_comfort_5_and_traffic_coordination_5,av_compliance_10,av_total_40,total_100,av_status,av_error
B,scenario_234abc75,0.0,4.66,0.0,4.66,0.000,5.000,3.914,4.934,13.848,18.508,ok,
B,scenario_23cba90f,20.0,6.32,0.0,26.32,0.000,4.450,4.119,4.688,13.257,39.577,ok,
B,scenario_251e9469,20.0,5.39,1.5,26.89,0.000,4.021,3.924,5.000,12.945,39.835,ok,
B,scenario_255cc473,20.0,8.64,1.5,30.14,5.000,5.000,5.870,5.000,20.870,51.010,ok,
B,scenario_26591b8c,20.0,8.79,15.91,44.7,6.667,4.986,4.811,5.000,21.464,66.164,ok,
B,scenario_26bb1bd4,20.0,6.18,21.2,47.38,10.000,0.802,9.024,4.015,23.841,71.221,ok,
B,scenario_28bbde0f,20.0,6.31,0.0,26.31,10.000,2.424,6.250,5.000,23.674,49.984,ok,
B,scenario_29534bfb,20.0,5.71,15.67,41.38,4.796,5.569,8.000,4.561,22.926,64.306,ok,
B,scenario_29f8e98b,20.0,7.46,6.0,33.46,0.000,6.441,3.870,5.870,16.181,49.641,ok,
B,scenario_2a36a5f2,20.0,6.04,0.0,26.04,5.000,5.072,6.429,4.935,21.436,47.476,ok,
B,scenario_2a541f29,20.0,6.09,9.0,35.09,5.000,5.000,5.455,5.000,20.455,55.545,ok,
B,scenario_2acaf2a1,20.0,7.82,15.08,42.9,5.000,5.056,5.455,5.000,20.511,63.411,ok,
B,scenario_2be310f8,20.0,5.62,20.76,46.38,7.500,5.000,5.000,5.000,22.500,68.880,ok,
B,scenario_2bed9d5b,20.0,6.87,1.5,28.37,4.433,5.007,5.781,5.000,20.221,48.591,ok,
B,scenario_2c7b2406,20.0,4.98,20.96,45.94,7.500,4.939,7.262,5.000,24.701,70.641,ok,
B,scenario_2ce1df17,20.0,7.38,0.0,27.38,4.900,4.911,4.663,5.000,19.474,46.854,ok,
B,scenario_2ce79b57,20.0,9.12,15.45,44.57,9.900,7.155,9.475,7.950,34.480,79.050,ok,
B,scenario_2e1cdeba,0.0,5.4,0.0,5.4,5.000,5.155,6.489,4.554,21.198,26.598,ok,
B,scenario_2e227e51,20.0,7.91,15.73,43.64,5.000,4.923,6.324,5.000,21.247,64.887,ok,
B,scenario_2e49b4c6,20.0,5.23,0.0,25.23,10.000,7.679,7.500,5.098,30.277,55.507,ok,
B,scenario_2e5101ef,20.0,5.03,16.7,41.74,5.000,5.000,8.333,5.179,23.512,65.252,ok,
B,scenario_2f0ddfc0,20.0,8.27,15.38,43.65,10.000,9.628,6.707,4.643,30.978,74.628,ok,
B,scenario_2fb4b0b6,20.0,6.55,0.0,26.55,4.681,5.370,5.833,5.000,20.884,47.434,ok,
B,scenario_2fe4550f,20.0,4.29,7.5,31.79,5.000,5.193,8.148,5.000,23.341,55.131,ok,
B,scenario_3011a285,20.0,6.08,0.0,26.08,5.000,5.000,5.179,5.000,20.179,46.259,ok,
B,scenario_31040f68,20.0,6.69,1.5,28.19,4.588,4.972,6.087,5.111,20.758,48.948,ok,
B,scenario_310b8a46,20.0,6.55,0.0,26.55,5.000,6.390,8.125,8.550,28.065,54.615,ok,
B,scenario_32270b9f,20.0,4.15,18.58,42.73,5.455,5.380,7.500,4.915,23.250,65.980,ok,
B,scenario_32451b9d,20.0,8.21,4.5,32.71,8.000,4.933,6.346,4.868,24.147,56.857,ok,
B,scenario_32ddfe31,20.0,5.86,0.0,25.86,5.000,5.197,7.586,5.125,22.908,48.768,ok,
B,scenario_32fe0532,20.0,4.19,9.0,33.19,7.000,4.944,6.286,5.000,23.230,56.420,ok,
B,scenario_33804069,20.0,4.97,17.67,42.63,0.000,5.000,3.792,5.000,13.792,56.422,ok,
B,scenario_33f6d640,20.0,6.57,0.0,26.57,0.000,5.726,3.497,5.500,14.723,41.293,ok,
B,scenario_344271cf,0.0,6.89,0.0,6.89,5.000,1.786,6.842,3.333,16.961,23.851,ok,
B,scenario_34d93811,20.0,6.87,20.56,47.43,0.000,5.785,3.684,5.100,14.569,61.999,ok,
B,scenario_34ebde5d,20.0,5.25,0.0,25.25,5.000,3.767,5.875,4.904,19.546,44.796,ok,
B,scenario_3540234a,20.0,6.72,20.82,47.54,0.000,5.695,3.663,3.542,12.900,60.440,ok,
B,scenario_356cf20d,20.0,6.37,1.5,27.87,5.000,5.139,7.128,5.200,22.467,50.337,ok,
B,scenario_3608423c,20.0,6.15,21.38,47.53,0.000,5.053,3.896,4.868,13.817,61.347,ok,
B,scenario_366bed0e,20.0,6.29,1.5,27.79,5.000,5.000,8.333,5.000,23.333,51.123,ok,
B,scenario_3781dccd,20.0,5.6,20.14,45.74,9.500,5.226,8.654,4.706,28.086,73.826,ok,
B,scenario_38857d1d,20.0,6.47,0.0,26.47,5.000,5.023,5.811,5.000,20.834,47.304,ok,
B,scenario_39775251,0.0,5.08,0.0,5.08,0.000,5.000,3.835,4.935,13.770,18.850,ok,
B,scenario_39876172,20.0,4.98,0.0,24.98,5.000,5.000,5.066,5.000,20.066,45.046,ok,
B,scenario_39c5eeca,20.0,5.8,0.0,25.8,6.667,5.085,7.424,5.000,24.176,49.976,ok,
B,scenario_3a785f02,20.0,6.91,19.17,46.08,5.000,5.000,5.781,5.000,20.781,66.861,ok,
B,scenario_3aa60863,20.0,5.9,24.33,50.23,9.950,7.110,9.950,8.450,35.460,85.690,ok,
