topic,scene,bv_safety_20,bv_comfort_10,bv_test_30,bv_total_60,av_safety_10,av_efficiency_10,av_comfort_5_and_traffic_coordination_5,av_compliance_10,av_total_40,total_100,av_status,av_error
B,scenario_234abc75,0.0,4.66,0.0,4.66,9.750,5.000,8.367,5.000,28.117,32.777,ok,
B,scenario_23cba90f,20.0,6.32,0.0,26.32,5.000,5.043,5.880,5.000,20.923,47.243,ok,
B,scenario_251e9469,20.0,5.39,1.5,26.89,9.900,3.906,8.190,4.825,26.821,53.711,ok,
B,scenario_255cc473,20.0,8.64,1.5,30.14,5.000,5.044,5.652,5.000,20.696,50.836,ok,
B,scenario_26591b8c,20.0,8.79,15.91,44.7,4.949,4.987,5.957,5.000,20.893,65.593,ok,
B,scenario_26bb1bd4,20.0,6.18,21.2,47.38,8.350,8.043,8.438,4.485,29.316,76.696,ok,
B,scenario_28bbde0f,20.0,6.31,0.0,26.31,4.949,5.293,7.203,6.250,23.695,50.005,ok,
B,scenario_29534bfb,20.0,5.71,15.67,41.38,9.350,5.666,8.598,4.811,28.425,69.805,ok,
B,scenario_29f8e98b,20.0,7.46,6.0,33.46,5.000,5.674,5.842,5.000,21.516,54.976,ok,
B,scenario_2a36a5f2,20.0,6.04,0.0,26.04,4.900,2.130,7.000,5.385,19.415,45.455,ok,
B,scenario_2a541f29,20.0,6.09,9.0,35.09,5.000,5.014,5.133,5.000,20.147,55.237,ok,
B,scenario_2acaf2a1,20.0,7.82,15.08,42.9,8.000,5.056,5.750,5.125,23.931,66.831,ok,
B,scenario_2be310f8,20.0,5.62,20.76,46.38,5.000,5.000,5.000,5.000,20.000,66.380,ok,
B,scenario_2bed9d5b,20.0,6.87,1.5,28.37,5.000,5.014,5.781,5.000,20.795,49.165,ok,
B,scenario_2c7b2406,20.0,4.98,20.96,45.94,5.000,5.099,5.735,5.000,20.834,66.774,ok,
B,scenario_2ce1df17,20.0,7.38,0.0,27.38,5.000,5.000,5.870,5.435,21.305,48.685,ok,
B,scenario_2ce79b57,20.0,9.12,15.45,44.57,5.000,5.078,5.781,5.119,20.978,65.548,ok,
B,scenario_2e1cdeba,0.0,5.4,0.0,5.4,5.000,5.030,5.376,4.811,20.217,25.617,ok,
B,scenario_2e227e51,20.0,7.91,15.73,43.64,5.000,5.045,5.469,5.000,20.514,64.154,ok,
B,scenario_2e49b4c6,20.0,5.23,0.0,25.23,5.000,5.269,7.101,4.167,21.537,46.767,ok,
B,scenario_2e5101ef,20.0,5.03,16.7,41.74,5.000,5.000,4.822,5.556,20.378,62.118,ok,
B,scenario_2f0ddfc0,20.0,8.27,15.38,43.65,4.949,2.539,7.090,5.690,20.268,63.918,ok,
B,scenario_2fb4b0b6,20.0,6.55,0.0,26.55,4.745,2.317,6.667,5.000,18.729,45.279,ok,
B,scenario_2fe4550f,20.0,4.29,7.5,31.79,8.000,5.047,6.667,5.000,24.714,56.504,ok,
B,scenario_3011a285,20.0,6.08,0.0,26.08,5.000,5.021,6.250,5.000,21.271,47.351,ok,
B,scenario_31040f68,20.0,6.69,1.5,28.19,5.000,5.008,6.667,4.911,21.586,49.776,ok,
B,scenario_310b8a46,20.0,6.55,0.0,26.55,5.000,5.049,6.413,5.000,21.462,48.012,ok,
B,scenario_32270b9f,20.0,4.15,18.58,42.73,4.592,5.017,6.333,5.000,20.942,63.672,ok,
B,scenario_32451b9d,20.0,8.21,4.5,32.71,7.500,2.091,7.738,5.000,22.329,55.039,ok,
B,scenario_32ddfe31,20.0,5.86,0.0,25.86,5.000,5.073,6.667,5.125,21.865,47.725,ok,
B,scenario_32fe0532,20.0,4.19,9.0,33.19,5.000,5.027,5.625,5.000,20.652,53.842,ok,
B,scenario_33804069,20.0,4.97,17.67,42.63,5.000,5.000,5.417,5.000,20.417,63.047,ok,
B,scenario_33f6d640,20.0,6.57,0.0,26.57,10.000,7.959,7.961,4.407,30.327,56.897,ok,
B,scenario_344271cf,0.0,6.89,0.0,6.89,6.500,6.460,5.897,6.596,25.453,32.343,ok,
B,scenario_34d93811,20.0,6.87,20.56,47.43,10.000,5.324,7.143,5.408,27.875,75.305,ok,
B,scenario_34ebde5d,20.0,5.25,0.0,25.25,9.600,8.036,8.551,5.543,31.730,56.980,ok,
B,scenario_3540234a,20.0,6.72,20.82,47.54,10.000,5.276,7.215,5.319,27.810,75.350,ok,
B,scenario_356cf20d,20.0,6.37,1.5,27.87,9.800,5.120,8.172,5.000,28.092,55.962,ok,
B,scenario_3608423c,20.0,6.15,21.38,47.53,5.000,5.076,5.402,5.000,20.478,68.008,ok,
B,scenario_366bed0e,20.0,6.29,1.5,27.79,7.500,5.349,7.667,4.726,25.242,53.032,ok,
B,scenario_3781dccd,20.0,5.6,20.14,45.74,9.167,5.531,7.551,5.114,27.363,73.103,ok,
B,scenario_38857d1d,20.0,6.47,0.0,26.47,5.000,5.008,5.513,5.000,20.521,46.991,ok,
B,scenario_39775251,0.0,5.08,0.0,5.08,5.000,5.000,5.482,5.000,20.482,25.562,ok,
B,scenario_39876172,20.0,4.98,0.0,24.98,8.000,7.888,6.034,5.000,26.922,51.902,ok,
B,scenario_39c5eeca,20.0,5.8,0.0,25.8,5.000,4.990,7.159,5.000,22.149,47.949,ok,
B,scenario_3a785f02,20.0,6.91,19.17,46.08,10.000,5.387,7.662,4.237,27.286,73.366,ok,
B,scenario_3aa60863,20.0,5.9,24.33,50.23,0.000,5.724,4.142,4.231,14.097,64.327,ok,
B,scenario_3ac1ee00,20.0,8.83,21.06,49.89,5.000,5.016,5.658,5.000,20.674,70.564,ok,
B,scenario_3b54a961,20.0,6.75,17.59,44.35,5.000,5.055,5.758,5.000,20.813,65.163,ok,
B,scenario_3b64a9fd,20.0,5.78,15.51,41.29,4.796,2.467,7.385,3.712,18.360,59.650,ok,
B,scenario_3b689bdd,20.0,7.05,16.58,43.63,8.333,4.740,6.081,5.000,24.154,67.784,ok,
B,scenario_3c2db191,20.0,7.14,3.0,30.14,5.000,5.127,6.261,3.219,19.607,49.747,ok,
B,scenario_3c3272de,20.0,5.8,0.0,25.8,7.000,5.027,5.517,5.000,22.544,48.344,ok,
B,scenario_3d95e43c,0.0,8.8,0.0,8.8,5.000,5.012,5.412,5.145,20.569,29.369,ok,
B,scenario_3e615b7d,20.0,5.73,0.0,25.73,7.500,5.012,6.034,5.000,23.546,49.276,ok,
B,scenario_3ee66805,20.0,7.48,0.0,27.48,8.750,4.859,6.860,4.754,25.223,52.703,ok,
B,scenario_41609149,20.0,4.89,0.0,24.89,4.950,5.040,7.197,5.370,22.557,47.447,ok,
B,scenario_41fb8274,20.0,6.63,3.0,29.63,5.000,5.310,6.272,5.556,22.138,51.768,ok,
B,scenario_420459fe,20.0,9.98,15.11,45.09,9.900,4.671,8.233,5.200,28.004,73.094,ok,
B,scenario_42bda014,20.0,5.15,0.0,25.15,9.800,7.903,8.430,5.000,31.133,56.283,ok,
B,scenario_431ffec5,20.0,9.84,17.65,47.5,5.000,4.954,5.523,4.592,20.069,67.569,ok,
B,scenario_435dc63e,20.0,5.35,15.29,40.64,9.900,5.702,8.457,5.610,29.669,70.309,ok,
B,scenario_45d90d2f,20.0,4.78,0.0,24.78,4.900,5.538,7.800,4.554,22.792,47.572,ok,
B,scenario_46e9f467,20.0,5.18,22.33,47.51,7.500,5.167,7.328,5.000,24.995,72.505,ok,
B,scenario_47362bc7,20.0,6.69,0.0,26.69,5.000,4.968,6.944,5.000,21.912,48.602,ok,
B,scenario_474df905,20.0,6.6,19.08,45.68,5.000,5.061,6.018,4.397,20.476,66.156,ok,
B,scenario_47a00da9,20.0,6.59,1.5,28.09,4.949,5.009,6.250,5.000,21.208,49.298,ok,
B,scenario_47a831fc,20.0,5.85,0.0,25.85,5.000,5.009,7.000,5.000,22.009,47.859,ok,
B,scenario_47aeadba,0.0,4.9,0.0,4.9,8.000,5.000,4.882,5.000,22.882,27.782,ok,
B,scenario_486c6799,20.0,7.91,0.0,27.91,5.000,4.201,7.679,4.286,21.166,49.076,ok,
B,scenario_496cc3f7,20.0,6.04,0.0,26.04,0.000,5.580,4.432,6.667,16.679,42.719,ok,
B,scenario_498ac3c0,20.0,4.08,0.0,24.08,5.000,4.706,7.361,5.000,22.067,46.147,ok,
B,scenario_4a10142f,20.0,6.37,0.0,26.37,5.000,5.049,5.825,5.000,20.874,47.244,ok,
B,scenario_4ad16070,20.0,10.0,15.46,45.46,5.000,4.384,5.980,5.200,20.564,66.024,ok,
B,scenario_4b0b4f71,20.0,4.88,0.0,24.88,5.000,5.016,5.119,5.000,20.135,45.015,ok,
B,scenario_4b6c818b,20.0,3.97,1.5,25.47,5.000,5.015,5.962,5.200,21.177,46.647,ok,
B,scenario_4b6efca6,20.0,5.89,9.0,34.89,5.000,5.008,5.197,5.000,20.205,55.095,ok,
B,scenario_4b951303,20.0,7.66,0.0,27.66,5.000,4.845,6.190,5.882,21.917,49.577,ok,
B,scenario_4b9d17a2,20.0,6.19,0.0,26.19,5.000,5.199,6.354,4.836,21.389,47.579,ok,
B,scenario_4bd0fe64,20.0,7.47,16.77,44.24,5.000,5.043,6.196,5.000,21.239,65.479,ok,
B,scenario_4c22167c,20.0,5.83,0.0,25.83,10.000,7.975,7.500,2.500,27.975,53.805,ok,
B,scenario_4c261e70,20.0,5.71,0.0,25.71,5.000,4.962,6.406,5.000,21.368,47.078,ok,
B,scenario_4ce5e9bd,20.0,10.0,0.0,30.0,5.000,5.034,6.293,5.357,21.684,51.684,ok,
B,scenario_4d14f86f,20.0,6.59,0.0,26.59,5.000,5.033,7.083,5.000,22.116,48.706,ok,
B,scenario_4d48a3f7,20.0,6.28,15.35,41.63,4.900,2.441,7.021,4.921,19.283,60.913,ok,
B,scenario_4ed6c324,20.0,5.83,20.49,46.32,10.000,3.835,6.190,2.500,22.525,68.845,ok,
B,scenario_4f0eb0b9,20.0,6.8,6.0,32.8,5.000,4.549,5.753,4.643,19.945,52.745,ok,
B,scenario_4f3461aa,20.0,5.14,16.08,41.22,4.900,2.454,7.125,5.185,19.664,60.884,ok,
B,scenario_4f89c34b,20.0,6.31,17.1,43.41,0.000,4.819,3.694,3.529,12.042,55.452,ok,
B,scenario_4fce2e85,20.0,7.11,15.56,42.67,4.101,9.464,7.000,4.609,25.174,67.844,ok,
B,scenario_50a083bb,20.0,6.29,19.99,46.28,0.000,5.057,3.758,5.196,14.011,60.291,ok,
B,scenario_5111e55d,20.0,9.17,21.03,50.2,5.000,4.892,5.568,5.326,20.786,70.986,ok,
B,scenario_5214f8e3,20.0,7.85,20.64,48.49,5.000,5.013,5.488,5.000,20.501,68.991,ok,
B,scenario_52a5c696,20.0,5.33,0.0,25.33,5.000,5.036,6.579,5.333,21.948,47.278,ok,
B,scenario_52d4694e,20.0,5.24,19.78,45.02,10.000,7.925,5.370,3.939,27.234,72.254,ok,
B,scenario_534ac6ae,20.0,5.29,19.8,45.08,8.000,8.002,5.781,5.306,27.089,72.169,ok,
B,scenario_5484339d,20.0,6.31,0.0,26.31,5.000,5.163,7.589,5.000,22.752,49.062,ok,
B,scenario_54b4bec1,20.0,4.66,15.36,40.02,8.333,4.519,7.187,5.200,25.239,65.259,ok,
B,scenario_54bf177c,20.0,6.87,20.78,47.66,5.000,5.030,5.888,4.322,20.240,67.900,ok,
B,scenario_554f5f89,0.0,6.27,0.0,6.27,6.429,4.936,6.250,4.833,22.448,28.718,ok,
B,scenario_56001d27,0.0,6.68,0.0,6.68,5.000,5.109,5.980,5.385,21.474,28.154,ok,
B,scenario_56c31509,20.0,5.26,9.0,34.26,5.000,5.008,5.312,4.865,20.185,54.445,ok,
B,scenario_575bf992,0.0,6.64,0.0,6.64,5.000,5.006,5.067,5.208,20.281,26.921,ok,
B,scenario_57b1aac9,20.0,7.24,0.0,27.24,5.000,5.023,5.714,4.474,20.211,47.451,ok,
B,scenario_5812d119,20.0,5.83,1.5,27.33,5.000,4.900,6.429,4.865,21.194,48.524,ok,
B,scenario_5994c086,20.0,6.6,0.0,26.6,5.000,5.030,7.755,4.773,22.558,49.158,ok,
B,scenario_5a1ddbd6,20.0,6.32,15.06,41.38,5.000,5.043,5.417,5.000,20.460,61.840,ok,
B,scenario_5a273a72,20.0,8.48,0.0,28.48,5.000,5.071,6.098,5.000,21.169,49.649,ok,
B,scenario_5aa6b7e4,20.0,9.88,0.0,29.88,4.949,4.779,6.739,5.000,21.467,51.347,ok,
B,scenario_5ac81b89,20.0,6.59,3.0,29.59,5.000,5.009,5.357,5.000,20.366,49.956,ok,
B,scenario_5bfb2927,20.0,6.9,0.0,26.9,4.898,5.060,6.809,4.417,21.184,48.084,ok,
B,scenario_5c2d112e,20.0,6.51,0.0,26.51,5.000,5.039,5.769,5.000,20.808,47.318,ok,
B,scenario_5c35a8a9,20.0,5.5,0.0,25.5,5.000,5.014,5.449,4.636,20.099,45.599,ok,
B,scenario_5c8dc4b6,20.0,6.48,3.0,29.48,5.000,5.323,6.336,4.672,21.331,50.811,ok,
B,scenario_5cb17c7e,20.0,5.74,18.54,44.28,8.500,5.000,7.065,4.500,25.065,69.345,ok,
B,scenario_5dd0e0a4,20.0,5.5,0.0,25.5,9.900,3.650,8.684,5.111,27.345,52.845,ok,
B,scenario_5f3e268e,20.0,8.35,17.0,45.35,5.000,5.000,4.972,5.200,20.172,65.522,ok,
B,scenario_5f43072b,20.0,5.57,15.21,40.78,4.900,1.997,6.964,5.667,19.528,60.308,ok,
