topic,scene,bv_safety_20,bv_comfort_10,bv_test_30,bv_total_60,av_safety_10,av_efficiency_10,av_comfort_5_and_traffic_coordination_5,av_compliance_10,av_total_40,total_100,av_status,av_error
B,scenario_234abc75,0.0,4.66,0.0,4.66,5.000,0.000,0.000,0.000,5.000,9.660,ok,
B,scenario_23cba90f,20.0,6.32,0.0,26.32,5.000,0.000,0.000,0.000,5.000,31.320,ok,
B,scenario_251e9469,20.0,5.39,1.5,26.89,5.000,0.000,0.000,0.000,5.000,31.890,ok,
B,scenario_255cc473,20.0,8.64,1.5,30.14,8.125,5.106,4.971,5.000,23.202,53.342,ok,
B,scenario_26591b8c,20.0,8.79,15.91,44.7,4.897,5.096,4.745,5.000,19.738,64.438,ok,
B,scenario_26bb1bd4,20.0,6.18,21.2,47.38,5.000,0.000,0.000,0.000,5.000,52.380,ok,
B,scenario_28bbde0f,20.0,6.31,0.0,26.31,0.000,0.000,0.000,0.000,0.000,26.310,ok,
B,scenario_29534bfb,20.0,5.71,15.67,41.38,5.000,0.000,0.000,0.000,5.000,46.380,ok,
B,scenario_29f8e98b,20.0,7.46,6.0,33.46,5.000,0.000,0.000,0.000,5.000,38.460,ok,
B,scenario_2a36a5f2,20.0,6.04,0.0,26.04,0.000,0.000,0.000,0.000,0.000,26.040,ok,
B,scenario_2a541f29,20.0,6.09,9.0,35.09,5.000,4.951,4.919,5.000,19.870,54.960,ok,
B,scenario_2acaf2a1,20.0,7.82,15.08,42.9,5.000,5.150,5.375,4.918,20.443,63.343,ok,
B,scenario_2be310f8,20.0,5.62,20.76,46.38,0.000,0.000,0.000,0.000,0.000,46.380,ok,
B,scenario_2bed9d5b,20.0,6.87,1.5,28.37,5.000,5.014,4.852,5.000,19.866,48.236,ok,
B,scenario_2c7b2406,20.0,4.98,20.96,45.94,4.541,5.017,4.907,5.000,19.465,65.405,ok,
B,scenario_2ce1df17,20.0,7.38,0.0,27.38,0.000,0.000,0.000,0.000,0.000,27.380,ok,
B,scenario_2ce79b57,20.0,9.12,15.45,44.57,4.949,5.061,4.880,4.831,19.721,64.291,ok,
B,scenario_2e1cdeba,0.0,5.4,0.0,5.4,5.000,0.000,0.000,0.000,5.000,10.400,ok,
B,scenario_2e227e51,20.0,7.91,15.73,43.64,5.000,5.091,4.880,5.000,19.971,63.611,ok,
B,scenario_2e49b4c6,20.0,5.23,0.0,25.23,0.000,0.000,0.000,0.000,0.000,25.230,ok,
B,scenario_2e5101ef,20.0,5.03,16.7,41.74,0.000,0.000,0.000,0.000,0.000,41.740,ok,
B,scenario_2f0ddfc0,20.0,8.27,15.38,43.65,0.000,3.625,3.862,5.185,12.672,56.322,ok,
B,scenario_2fb4b0b6,20.0,6.55,0.0,26.55,7.000,5.071,4.875,5.000,21.946,48.496,ok,
B,scenario_2fe4550f,20.0,4.29,7.5,31.79,0.000,0.000,0.000,0.000,0.000,31.790,ok,
B,scenario_3011a285,20.0,6.08,0.0,26.08,0.000,0.000,0.000,0.000,0.000,26.080,ok,
B,scenario_31040f68,20.0,6.69,1.5,28.19,4.742,5.116,4.798,5.111,19.767,47.957,ok,
B,scenario_310b8a46,20.0,6.55,0.0,26.55,0.000,0.000,0.000,0.000,0.000,26.550,ok,
B,scenario_32270b9f,20.0,4.15,18.58,42.73,0.000,0.000,0.000,0.000,0.000,42.730,ok,
B,scenario_32451b9d,20.0,8.21,4.5,32.71,4.847,4.987,4.885,5.000,19.719,52.429,ok,
B,scenario_32ddfe31,20.0,5.86,0.0,25.86,0.000,0.000,0.000,0.000,0.000,25.860,ok,
B,scenario_32fe0532,20.0,4.19,9.0,33.19,4.845,5.107,4.820,5.000,19.772,52.962,ok,
B,scenario_33804069,20.0,4.97,17.67,42.63,5.000,0.000,0.000,0.000,5.000,47.630,ok,
B,scenario_33f6d640,20.0,6.57,0.0,26.57,0.000,0.000,0.000,0.000,0.000,26.570,ok,
B,scenario_344271cf,0.0,6.89,0.0,6.89,0.000,0.000,0.000,0.000,0.000,6.890,ok,
B,scenario_34d93811,20.0,6.87,20.56,47.43,0.000,0.000,0.000,0.000,0.000,47.430,ok,
B,scenario_34ebde5d,20.0,5.25,0.0,25.25,5.000,5.594,5.773,4.344,20.711,45.961,ok,
B,scenario_3540234a,20.0,6.72,20.82,47.54,5.000,0.000,0.000,0.000,5.000,52.540,ok,
B,scenario_356cf20d,20.0,6.37,1.5,27.87,0.000,0.000,0.000,0.000,0.000,27.870,ok,
B,scenario_3608423c,20.0,6.15,21.38,47.53,5.000,4.694,5.000,4.934,19.628,67.158,ok,
B,scenario_366bed0e,20.0,6.29,1.5,27.79,0.000,0.000,0.000,0.000,0.000,27.790,ok,
B,scenario_3781dccd,20.0,5.6,20.14,45.74,0.000,0.000,0.000,0.000,0.000,45.740,ok,
B,scenario_38857d1d,20.0,6.47,0.0,26.47,5.000,5.078,4.812,4.911,19.801,46.271,ok,
B,scenario_39775251,0.0,5.08,0.0,5.08,5.000,0.000,0.000,0.000,5.000,10.080,ok,
B,scenario_39876172,20.0,4.98,0.0,24.98,0.000,0.000,0.000,0.000,0.000,24.980,ok,
B,scenario_39c5eeca,20.0,5.8,0.0,25.8,0.000,0.000,0.000,0.000,0.000,25.800,ok,
B,scenario_3a785f02,20.0,6.91,19.17,46.08,0.000,0.000,0.000,0.000,0.000,46.080,ok,
B,scenario_3aa60863,20.0,5.9,24.33,50.23,0.000,0.000,0.000,0.000,0.000,50.230,ok,
B,scenario_3ac1ee00,20.0,8.83,21.06,49.89,0.000,0.000,0.000,0.000,0.000,49.890,ok,
B,scenario_3b54a961,20.0,6.75,17.59,44.35,4.845,5.074,4.849,5.000,19.768,64.118,ok,
B,scenario_3b64a9fd,20.0,5.78,15.51,41.29,0.000,0.000,0.000,0.000,0.000,41.290,ok,
B,scenario_3b689bdd,20.0,7.05,16.58,43.63,4.845,5.030,4.853,5.000,19.728,63.358,ok,
B,scenario_3c2db191,20.0,7.14,3.0,30.14,5.000,0.000,0.000,0.000,5.000,35.140,ok,
B,scenario_3c3272de,20.0,5.8,0.0,25.8,7.000,5.100,4.940,4.919,21.959,47.759,ok,
B,scenario_3d95e43c,0.0,8.8,0.0,8.8,5.000,5.091,4.658,5.000,19.749,28.549,ok,
B,scenario_3e615b7d,20.0,5.73,0.0,25.73,5.000,5.062,4.740,5.000,19.802,45.532,ok,
B,scenario_3ee66805,20.0,7.48,0.0,27.48,0.000,0.000,0.000,0.000,0.000,27.480,ok,
B,scenario_41609149,20.0,4.89,0.0,24.89,0.000,0.000,0.000,0.000,0.000,24.890,ok,
B,scenario_41fb8274,20.0,6.63,3.0,29.63,5.000,0.000,0.000,0.000,5.000,34.630,ok,
B,scenario_420459fe,20.0,9.98,15.11,45.09,0.000,0.000,0.000,0.000,0.000,45.090,ok,
B,scenario_42bda014,20.0,5.15,0.0,25.15,0.000,0.000,0.000,0.000,0.000,25.150,ok,
B,scenario_431ffec5,20.0,9.84,17.65,47.5,5.000,0.000,0.000,0.000,5.000,52.500,ok,
B,scenario_435dc63e,20.0,5.35,15.29,40.64,0.000,0.000,0.000,0.000,0.000,40.640,ok,
B,scenario_45d90d2f,20.0,4.78,0.0,24.78,0.000,0.000,0.000,0.000,0.000,24.780,ok,
B,scenario_46e9f467,20.0,5.18,22.33,47.51,0.000,0.000,0.000,0.000,0.000,47.510,ok,
B,scenario_47362bc7,20.0,6.69,0.0,26.69,0.000,0.000,0.000,0.000,0.000,26.690,ok,
B,scenario_474df905,20.0,6.6,19.08,45.68,5.000,0.000,0.000,0.000,5.000,50.680,ok,
B,scenario_47a00da9,20.0,6.59,1.5,28.09,4.742,5.135,4.770,5.000,19.647,47.737,ok,
B,scenario_47a831fc,20.0,5.85,0.0,25.85,0.000,0.000,0.000,0.000,0.000,25.850,ok,
B,scenario_47aeadba,0.0,4.9,0.0,4.9,0.000,0.000,0.000,0.000,0.000,4.900,ok,
B,scenario_486c6799,20.0,7.91,0.0,27.91,0.000,0.000,0.000,0.000,0.000,27.910,ok,
B,scenario_496cc3f7,20.0,6.04,0.0,26.04,5.000,0.000,0.000,0.000,5.000,31.040,ok,
B,scenario_498ac3c0,20.0,4.08,0.0,24.08,0.000,0.000,0.000,0.000,0.000,24.080,ok,
B,scenario_4a10142f,20.0,6.37,0.0,26.37,5.000,0.000,0.000,0.000,5.000,31.370,ok,
B,scenario_4ad16070,20.0,10.0,15.46,45.46,0.000,0.000,0.000,0.000,0.000,45.460,ok,
B,scenario_4b0b4f71,20.0,4.88,0.0,24.88,5.000,0.000,0.000,0.000,5.000,29.880,ok,
B,scenario_4b6c818b,20.0,3.97,1.5,25.47,0.000,0.000,0.000,0.000,0.000,25.470,ok,
B,scenario_4b6efca6,20.0,5.89,9.0,34.89,5.000,5.032,4.879,5.000,19.911,54.801,ok,
B,scenario_4b951303,20.0,7.66,0.0,27.66,0.000,0.000,0.000,0.000,0.000,27.660,ok,
B,scenario_4b9d17a2,20.0,6.19,0.0,26.19,0.000,0.000,0.000,0.000,0.000,26.190,ok,
B,scenario_4bd0fe64,20.0,7.47,16.77,44.24,0.000,0.000,0.000,0.000,0.000,44.240,ok,
B,scenario_4c22167c,20.0,5.83,0.0,25.83,0.000,0.000,0.000,0.000,0.000,25.830,ok,
B,scenario_4c261e70,20.0,5.71,0.0,25.71,4.949,5.033,4.883,5.000,19.865,45.575,ok,
B,scenario_4ce5e9bd,20.0,10.0,0.0,30.0,0.000,3.582,3.655,4.649,11.886,41.886,ok,
