topic,scene,bv_safety_20,bv_comfort_10,bv_test_30,bv_total_60,av_safety_10,av_efficiency_10,av_comfort_5_and_traffic_coordination_5,av_compliance_10,av_total_40,total_100,av_status,av_error
B,scenario_234abc75,0.0,4.66,0.0,4.66,4.917,3.333,4.094,3.311,15.655,20.315,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_23cba90f,20.0,6.32,0.0,26.32,3.333,3.164,3.333,3.229,13.059,39.379,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_251e9469,20.0,5.39,1.5,26.89,4.967,2.642,4.038,3.275,14.922,41.812,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_255cc473,20.0,8.64,1.5,30.14,6.042,5.05,5.498,5.0,21.59,51.73,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_26591b8c,20.0,8.79,15.91,44.7,5.504,5.023,5.171,5.0,20.698,65.398,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_26bb1bd4,20.0,6.18,21.2,47.38,7.783,2.948,5.821,2.833,19.385,66.765,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_28bbde0f,20.0,6.31,0.0,26.31,4.983,2.572,4.484,3.75,15.789,42.099,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_29534bfb,20.0,5.71,15.67,41.38,6.382,3.745,5.533,3.124,18.784,60.164,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_29f8e98b,20.0,7.46,6.0,33.46,3.333,4.038,3.237,3.623,14.231,47.691,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_2a36a5f2,20.0,6.04,0.0,26.04,3.3,2.401,4.476,3.44,13.617,39.657,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_2a541f29,20.0,6.09,9.0,35.09,5.0,4.988,5.169,5.0,20.157,55.247,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_2acaf2a1,20.0,7.82,15.08,42.9,6.0,5.087,5.527,5.014,21.628,64.528,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_2be310f8,20.0,5.62,20.76,46.38,4.167,3.333,3.333,3.333,14.166,60.546,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_2bed9d5b,20.0,6.87,1.5,28.37,4.811,5.012,5.471,5.0,20.294,48.664,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_2c7b2406,20.0,4.98,20.96,45.94,5.68,5.018,5.968,5.0,21.666,67.606,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_2ce1df17,20.0,7.38,0.0,27.38,3.3,3.304,3.511,3.478,13.593,40.973,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_2ce79b57,20.0,9.12,15.45,44.57,6.616,5.765,6.712,5.967,25.06,69.63,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_2e1cdeba,0.0,5.4,0.0,5.4,5.0,3.395,3.955,3.122,15.472,20.872,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_2e227e51,20.0,7.91,15.73,43.64,5.0,5.02,5.558,5.0,20.578,64.218,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_2e49b4c6,20.0,5.23,0.0,25.23,5.0,4.316,4.867,3.088,17.271,42.501,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_2e5101ef,20.0,5.03,16.7,41.74,3.333,3.333,4.385,3.578,14.629,56.369,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_2f0ddfc0,20.0,8.27,15.38,43.65,4.983,5.264,5.886,5.173,21.306,64.956,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_2fb4b0b6,20.0,6.55,0.0,26.55,5.475,4.253,5.792,5.0,20.52,47.07,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_2fe4550f,20.0,4.29,7.5,31.79,4.333,3.413,4.938,3.333,16.017,47.807,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_3011a285,20.0,6.08,0.0,26.08,3.333,3.34,3.81,3.333,13.816,39.896,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_31040f68,20.0,6.69,1.5,28.19,4.777,5.032,5.851,5.044,20.704,48.894,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_310b8a46,20.0,6.55,0.0,26.55,3.333,3.813,4.846,4.517,16.509,43.059,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_32270b9f,20.0,4.15,18.58,42.73,3.349,3.466,4.611,3.305,14.731,57.461,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_32451b9d,20.0,8.21,4.5,32.71,6.782,4.004,6.323,4.956,22.065,54.775,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_32ddfe31,20.0,5.86,0.0,25.86,3.333,3.423,4.751,3.417,14.924,40.784,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_32fe0532,20.0,4.19,9.0,33.19,5.615,5.026,5.577,5.0,21.218,54.408,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_33804069,20.0,4.97,17.67,42.63,3.333,3.333,3.07,3.333,13.069,55.699,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
